thisID,current_acronym,current_name,centroid_x,centroid_y,correct_allen_id,notes
491,MM,Medial mammillary nucleus,2982,75,,
200,COAa2,Cortical amygdalar area anterior part layer 2,2958,294,,
299,MO5,Somatomotor areas Layer 5,2545,310,,
528,CBX,Cerebellar cortex,3630,377,,
333,SH,Septohippocampal nucleus,2179,409,,
536,CEA,Central amygdalar nucleus,3804,413,,
186,LH,Lateral habenula,2728,443,,
172,,,2132,457,,
193,PPYs,Parapyramidal nucleus superficial part,3221,476,,
326,scp,superior cerebelar peduncles,2201,482,,
1073,HEM,Hemispheric regions,5485,540,,
179,ACA6a,Anterior cingulate area layer 6a,2805,612,,
354,MY,Medulla,1794,641,,
165,RAmb,Midbrain raphe nuclei,2302,701,,
458,OT1,Olfactory tubercle molecular layer,4165,726,,
474,ab,angular path,4478,727,,
524,ORBm2,Orbital area medial part layer 2,3753,742,,
468,ENTm2a,Entorhinal area medial part dorsal zone layer 2a,4394,750,,
463,CA3,Field CA3,4336,766,,
347,SBPV,Subparaventricular zone,2289,778,,
144,OT1-3,Olfactory tubercle layers 1-3,2850,778,,
495,CA3sp,Field CA3 pyramidal layer,3537,820,,
508,ENTm2b,Entorhinal area medial part dorsal zone layer 2b,3703,834,,
361,SSp-tr,Primary somatosensory area trunk,2898,838,,
1077,PR,Perireunensis nucleus,5818,843,,
123,KF,Koelliker-Fuse subnucleus,2132,855,,
1068,mfbst,dorsal thalamus related,5278,879,,
532,PTLp1,Posterior parietal association areas layer 1,3939,891,,
374,SNc,Substantia nigra compact part,2997,927,,
137,CSl,Superior central nucleus raphe lateral part,2372,953,,
87,PVHmpd,Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone,1506,998,,
151,AOB,Accessory olfactory bulb,2395,1024,,
1081,ILA6b,Infralimbic area layer 6b,6211,1025,,
561,VIS2/3,Visual areas layer 2/3,3016,1048,,
368,PERI6b,Perirhinal area layer 6b,2918,1082,,
562,BSTrh,Bed nuclei of the stria terminalis anterior division rhomboid nucleus,3492,1096,,
564,MS,Medial septal nucleus,3378,1133,,
1026,SSp-ul6b,Primary somatosensory area upper limb layer 6b,5020,1154,,
1043,tspc,crossed tectospinal pathway,5225,1161,,
568,ACVI,Accessory abducens nucleus,3321,1169,,
